command,officers,avg_base_salary,avg_regular_hours,avg_regular_paid,avg_ot_hours,avg_ot_paid,avg_other_paid,avg_total_paid,avg_years_on_force,total_base_salary,total_regular_hours,total_regular_paid,total_ot_hours,total_ot_paid,total_other_paid,total_total_paid,total_years_on_force
120 DETECTIVE SQUAD,23,96292.86956521739,2080,93333,475.95652173913044,25701.869565217392,17267.565217391304,136302.4347826087,13.579923565614454,2214736,47840,2146659,10947,591143,397154,3134956,312.33824200913244
120 PCT VIPER,1,85292,2080,85051,2,74,20962,106087,13.369977168949772,85292,2080,85051,2,74,20962,106087,13.369977168949772
120 PRECINCT,262,75898.63740458015,2073.507633587786,73238.74809160305,158.64885496183206,5803.064885496183,13551.824427480917,92593.63740458015,8.945110931018872,19885443,543259,19188552,41566,1520403,3550578,24259533,2343.6190639269444
121 DETECTIVE SQUAD,18,90004.38888888889,2080,87570.22222222222,477.72222222222223,23985.61111111111,15635.944444444445,127191.77777777778,10.877200659563671,1620079,37440,1576264,8599,431741,281447,2289452,195.78961187214608
121 PRECINCT,169,75655.44378698224,2080,74698.04142011834,216.79881656804733,7834.763313609467,14065.715976331361,96598.52071005917,9.163450730863806,12785770,351520,12623969,36639,1324075,2377106,16325150,1548.6231735159834
122 DETECTIVE SQUAD,16,97392.0625,2080,93786.125,428.625,23460.3125,17220.9375,134467.375,13.201812214611875,1558273,33280,1500578,6858,375365,275535,2151478,211.22899543379
122 PRECINCT,178,79678.96629213484,2079.3370786516853,78101.18539325842,145.4943820224719,6241.393258426966,14993.14606741573,99335.72471910113,10.193499563901304,14182856,370122,13902011,25898,1110968,2668780,17681759,1814.4429223744319
123 DETECTIVE SQUAD,10,99938.7,2080,99021.9,421.7,24885.7,16635.8,140543.4,14.206073059360733,999387,20800,990219,4217,248857,166358,1405434,142.06073059360733
123 PRECINCT,124,81013.12096774194,2027.274193548387,78743.87903225806,139.55645161290323,5997.870967741936,15631.975806451614,100373.7258064516,11.076511636470773,10045627,251382,9764241,17305,743736,1938365,12446342,1373.4874429223757
125 STREET TASK FORCE,11,94233.36363636363,2083.818181818182,91792.27272727272,362.72727272727275,17280,17985.454545454544,127057.72727272728,12.766220423412204,1036567,22922,1009715,3990,190080,197840,1397635,140.42842465753424
28 PCT HUB SITE,2,63896,1360,46404.5,5,180,10398,56982.5,10.674029680365297,127792,2720,92809,10,360,20796,113965,21.348059360730595
AC ZONE I QUEENS/BKLYN/S.I.,28,102690.96428571429,2081.5,101919,588.9285714285714,28480.25,18903.321428571428,149302.57142857142,18.023960371819957,2875347,58282,2853732,16490,797447,529293,4180472,504.6708904109588
AC ZONE II BRONX/ MANHATTAN,11,104454.36363636363,2094.3636363636365,104922.09090909091,542.8181818181819,30958.81818181818,18722.727272727272,154603.63636363635,20.038200498132007,1148998,23038,1154143,5971,340547,205950,1700640,220.42020547945208
ARSON & EXPLOSION,13,106055.92307692308,2083.230769230769,105712,545.0769230769231,33067.153846153844,19073.923076923078,157853.07692307694,20.065823674042853,1378727,27082,1374256,7086,429873,247961,2052090,260.8557077625571
ASSET FORFEITURE UNIT,9,101795.44444444444,2084.6666666666665,101779.66666666667,381.55555555555554,26713.11111111111,17141.777777777777,145634.55555555556,18.721867072552,916159,18762,916017,3434,240418,154276,1310711,168.49680365296803
ATU LATE TOUR PATROL TD 1,51,83686.3137254902,2080,81522.17647058824,419.11764705882354,16101.686274509804,18031.156862745098,115655.01960784313,9.043208881726203,4268002,106080,4157631,21375,821186,919589,5898406,461.20365296803635
ATU LATE TOUR PATROL TD 2,55,72736.43636363637,2073.8545454545456,70812.2,403.90909090909093,13117.018181818183,14035.218181818182,97964.43636363637,7.122893316728931,4000504,114062,3894671,22215,721436,771937,5388044,391.7591324200912
AUDITS & ACCOUNTS UNIT,1,85292,2080,85051,360,20307,15882,121240,19.37271689497717,85292,2080,85051,360,20307,15882,121240,19.37271689497717
AUTO CRIME,28,104778.03571428571,2084.5,102950.32142857143,423.25,22920.5,17634.85714285714,143505.67857142858,16.28119699934768,2933785,58366,2882609,11851,641774,493776,4018159,455.8735159817351
AUTO POUND,35,96313.31428571428,2080,94787.31428571428,195.68571428571428,10977.8,19215.6,124980.71428571429,16.61245270711024,3370966,72800,3317556,6849,384223,672546,4374325,581.4358447488584
AUXILIARY POLICE SECT,12,107769.41666666667,2080,105830.58333333333,121.83333333333333,6629.666666666667,21302.583333333332,133762.83333333334,18.025199771689497,1293233,24960,1269967,1462,79556,255631,1605154,216.30239726027395
AVIATION UNIT,70,92973.12857142858,2075.3142857142857,91874.85714285714,195.17142857142858,11135.742857142857,20908.77142857143,123919.37142857142,15.067511415525113,6508119,145272,6431240,13662,779502,1463614,8674356,1054.725799086758
BALLISTIC VEST UNIT,3,85941,2080,85100.33333333333,119,7837,12867.333333333334,105804.66666666667,11.146194824961947,257823,6240,255301,357,23511,38602,317414,33.43858447488584
BARRIER SECTION,8,103715.875,2095.375,104007,381,23617.125,18834.5,146458.625,24.627468607305936,829727,16763,832056,3048,188937,150676,1171669,197.01974885844749
BEHAVIORAL HEALTH DIVISION,5,107895.6,2080,103156,97.4,5880.2,14627.8,123664,10.806689497716894,539478,10400,515780,487,29401,73139,618320,54.03344748858447
BKLYN NORTH VICE MODULE,7,102719.57142857143,2080,100453.57142857143,659.4285714285714,28639.14285714286,19276.14285714286,148368.85714285713,15.610600130463142,719037,14560,703175,4616,200474,134933,1038582,109.274200913242
BKLYN NORTH WARRANT SQUAD,1,138600,2080,136684,194,13332,21609,171625,15.841095890410958,138600,2080,136684,194,13332,21609,171625,15.841095890410958
BKLYN ROBBERY SQ,14,98534.85714285714,2080,98152.92857142857,530.8571428571429,28394.428571428572,16801.714285714286,143349.07142857142,15.109279191128508,1379488,29120,1374141,7432,397522,235224,2006887,211.5299086757991
BKLYN SOUTH VICE MODULE,7,93522.28571428571,2080,92895.14285714286,497,23069.428571428572,16349.57142857143,132314.14285714287,12.00515329419439,654656,14560,650266,3479,161486,114447,926199,84.03607305936073
BKLYN TRANSIT ROBBERY SQUAD,14,94031.28571428571,2080,93385.64285714286,486.64285714285717,23911.214285714286,17645.571428571428,134942.42857142858,13.30085616438356,1316438,29120,1307399,6813,334757,247038,1889194,186.21198630136985
BN CRIME ANALYSIS UNIT,15,95982.8,2080,99881.26666666666,144,9656.666666666666,15539.933333333332,125077.86666666667,15.310030441400304,1439742,31200,1498219,2160,144850,233099,1876168,229.65045662100457
BN EVIDENCE COLLECTION TEAM,24,89111.91666666667,2081.7083333333335,90927.83333333333,320.2083333333333,15782.291666666666,18642.125,125352.25,15.359194254185688,2138686,49961,2182268,7685,378775,447411,3008454,368.6206621004565
BOMB SQUAD,38,102608.5,2082.6052631578946,101922.3947368421,594.2894736842105,32372.42105263158,18123.36842105263,152418.18421052632,18.561286349435232,3899123,79139,3873051,22583,1230152,688688,5791891,705.3288812785388
BRONX CHILD ABUSE SQUAD,25,98464.36,2082.04,93850.08,483.88,24413.96,16105.4,134369.44,12.383077625570778,2461609,52051,2346252,12097,610349,402635,3359236,309.5769406392694
BRONX COURT SECT,126,91503.8492063492,2062.9285714285716,90676.73809523809,168.82539682539684,8369.738095238095,17254.531746031746,116301.00793650794,14.826850039863757,11529485,259929,11425269,21272,1054587,2174071,14653927,1868.1831050228334
BRONX GRAND LARCENY SQD,11,97556.81818181818,2083.818181818182,98610.27272727272,447.72727272727275,24514.81818181818,16942.090909090908,140067.18181818182,15.968690327936901,1073125,22922,1084713,4925,269663,186363,1540739,175.65559360730592
BRONX OP APPRHENSION TEAM,6,108389.66666666667,2087,108375.33333333333,589.5,28847.333333333332,20930.666666666668,158153.33333333334,23.01097792998478,650338,12522,650252,3537,173084,125584,948920,138.06586757990868
BRONX OPER NIGHT WATCH,9,103431.88888888889,2089.222222222222,103788.33333333333,670.7777777777778,30500.777777777777,22582.88888888889,156872,19.945890410958903,930887,18803,934095,6037,274507,203246,1411848,179.51301369863012
BRONX ROBBERY SQUAD,13,101139.84615384616,2080,100338.46153846153,442,25523.076923076922,16803.384615384617,142664.92307692306,16.060537407797685,1314818,27040,1304400,5746,331800,218444,1854644,208.7869863013699
BRONX SPECIAL VICTIMS SQUAD,31,99299.45161290323,2080,97866.6129032258,445.64516129032256,23067.8064516129,15934.483870967742,136868.90322580645,13.387792752982763,3078283,64480,3033865,13815,715102,493969,4242936,415.02157534246567
BRONX TRANSIT ROBBERY SQUAD,13,86729.23076923077,2080,84493.61538461539,416.6923076923077,19590.923076923078,15091.692307692309,119176.23076923077,10.887521952932913,1127480,27040,1098417,5417,254682,196192,1549291,141.53778538812787
BRONX VICE MODULE,8,105029.25,2080,109140.625,592.25,29061.625,18614.75,156817,17.320276826484015,840234,16640,873125,4738,232493,148918,1254536,138.56221461187212
BRONX WARRANT SQD,1,138600,2080,136684,32,2235,23034,161953,16.400114155251142,138600,2080,136684,32,2235,23034,161953,16.400114155251142
BRONX ZOO DETAIL,10,90105.6,2080,89851.2,121.6,6560,17659.1,114070.3,21.051335616438354,901056,20800,898512,1216,65600,176591,1140703,210.51335616438354
BROOKLYN CHILD ABUSE SQUAD,26,95520.84615384616,2080,91998.69230769231,365.53846153846155,18893.76923076923,15437.192307692309,126329.65384615384,12.17626009834914,2483542,54080,2391966,9504,491238,401367,3284571,316.5827625570776
BROOKLYN COURT SECTION,88,92631.02272727272,2057.659090909091,91369.02272727272,339.8068181818182,17362.409090909092,17579.954545454544,126311.38636363637,14.805391241178922,8151530,181074,8040474,29903,1527892,1547036,11115402,1302.8744292237452
BROOKLYN NORTH GRAND LARCENY SQD,12,101769.33333333333,2080,100447.75,416.8333333333333,22352.416666666668,18596.75,141396.91666666666,18.16904490106545,1221232,24960,1205373,5002,268229,223161,1696763,218.0285388127854
BROOKLYN NORTH OPER NIGHT WATCH,11,100493.63636363637,2082.909090909091,100385.45454545454,553.5454545454545,24184.454545454544,21735.18181818182,146305.0909090909,18.18588625985886,1105430,22912,1104240,6089,266029,239087,1609356,200.04474885844746
BROOKLYN SOUTH GRAND LARCENY SQD,8,89804,2080,89550.625,479.375,24232.5,17454.375,131237.5,14.650428082191782,718432,16640,716405,3835,193860,139635,1049900,117.20342465753426
BROOKLYN SOUTH OPER NIGHT WATCH,10,104169,2080,103875.6,667.9,29862.6,23435.3,157173.5,21.107488584474886,1041690,20800,1038756,6679,298626,234353,1571735,211.07488584474888
BROOKLYN SOUTH WARRANT SQD,2,129443.5,2080,127603,613.5,39027.5,22629,189259.5,18.802739726027397,258887,4160,255206,1227,78055,45258,378519,37.605479452054794
BROOKLYN SPECIAL VICTIMS SQUAD,34,95548.08823529411,2080,93285.79411764706,456.11764705882354,23617.764705882353,15497.176470588236,132400.73529411765,13.076480660757454,3248635,70720,3171717,15508,803004,526904,4501625,444.60034246575344
BS CRIME ANALYSIS UNIT,18,98879.66666666667,2080,99668.16666666667,168.11111111111111,10412.555555555555,16343.555555555555,126424.27777777778,14.545275240994421,1779834,37440,1794027,3026,187426,294184,2275637,261.81495433789956
BS EVIDENCE COLLECTION TEAM,23,85977.34782608696,2080,84950.17391304347,249.65217391304347,11129.565217391304,17543.695652173912,113623.43478260869,12.811405598570573,1977479,47840,1953854,5742,255980,403505,2613339,294.6623287671232
BUILDING MAINTENANCE SECT,26,102165.11538461539,2083.269230769231,101782.53846153847,329.1923076923077,21910.115384615383,16622.923076923078,140315.57692307694,14.65717860906217,2656293,54165,2646346,8559,569663,432196,3648205,381.0866438356164
BUSINESS DIST RECOVERY INIT DTL,79,85684.44303797468,2080,82855.22784810126,249.86075949367088,10850,16455.962025316454,110161.18987341772,10.281706259753774,6769071,164320,6545563,19739,857150,1300021,8702734,812.2547945205481
BX AUTO LARCENY UNIT,7,95904.42857142857,2080,95428.28571428571,475.7142857142857,20760.571428571428,22357,138545.85714285713,13.828979125896934,671331,14560,667998,3330,145324,156499,969821,96.80285388127854
BX CRIME ANALYSIS UNIT,13,96714.07692307692,2080,96163.23076923077,183.6153846153846,11405.76923076923,16570.384615384617,124139.38461538461,16.421153846153846,1257283,27040,1250122,2387,148275,215415,1613812,213.475
BX EVIDENCE COLLECTION TEAM,32,90240.625,2080,89817.21875,71.8125,3307.65625,18706.84375,111831.71875,16.2542915239726,2887700,66560,2874151,2298,105845,598619,3578615,520.1373287671232
CAB INVESTIGATIONS UNIT,1,122892,2080,109052,360,18309,18052,145413,19.43025114155251,122892,2080,109052,360,18309,18052,145413,19.43025114155251
CAD MEDICAL ASSESSMENT SECTION,12,94490.91666666667,2080,94104.41666666667,239.16666666666666,15196.583333333334,16394.666666666668,125695.66666666667,16.705108447488584,1133891,24960,1129253,2870,182359,196736,1508348,200.461301369863
CAD PSYCH ASSESSMENT SECTION,6,89953,2080,89684.5,202.83333333333334,11501.5,17398.166666666668,118584.16666666667,17.5927701674277,539718,12480,538107,1217,69009,104389,711505,105.55662100456621
CAD RECRUITMENT SECTION,15,90934.13333333333,1982.4,85111.86666666667,201.26666666666668,9925.2,14727.866666666667,109764.93333333333,11.522831050228312,1364012,29736,1276678,3019,148878,220918,1646474,172.84246575342468
CANDIDATE ASSESSMENT DIVISION,104,96358.34615384616,2063.480769230769,94463.65384615384,179.79807692307693,10726.778846153846,16042.846153846154,121233.27884615384,15.618629258868992,10021268,214602,9824220,18699,1115585,1668456,12608261,1624.3374429223752
CAPITAL CONSTRUCTION UNIT,1,109360,2080,109052,417,26479,18070,153601,19.43025114155251,109360,2080,109052,417,26479,18070,153601,19.43025114155251
CCCS DISCOVERY LIAISON UNIT,26,88497.92307692308,2080,87470.34615384616,258.61538461538464,12166.653846153846,16879.5,116516.5,11.934966631541972,2300946,54080,2274229,6724,316333,438867,3029429,310.30913242009126
CEIS BORDER ENFORCEMENT SEC TASK FORCE,6,101336,2080,101050.66666666667,481,32452.333333333332,16979.166666666668,150482.16666666666,19.007838660578386,608016,12480,606304,2886,194714,101875,902893,114.04703196347032
CEIS BUSINESS INTEGRITY COM,6,106037.16666666667,2080,105738.5,454.3333333333333,31213,18440.333333333332,155391.83333333334,22.93704337899543,636223,12480,634431,2726,187278,110642,932351,137.62226027397259
CEIS FINANCIAL CRIMES SECTION,1,171310,2080,170827,270,8636,23179,202642,23.265867579908676,171310,2080,170827,270,8636,23179,202642,23.265867579908676
