field,change first srg year,change other years
base_salary_change,4838.732739420935,3979.380870951779
regular_hours_change,2.376391982182628,35.506004288777696
regular_paid_change,5748.289532293987,4653.849606862044
ot_hours_change,70.69710467706014,21.215219662396215
ot_paid_change,3716.5812917594653,752.6960246329796
other_paid_change,2119.305122494432,1314.952933413977
total_paid_change,11584.175946547884,6721.498564909001
